Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 April 2016,ivo-cobra8,10," Excellent timeless classic, the best sequel of all time!","Star Wars: Episode V - The Empire Strikes Back (1980) is an excellent timeless classic that it is the best sequel of all time. I love this film to death, it is my second favorite film and the best sequel in the Star Wars franchise that I love. The Empire Strikes Back is a movie that it is one of the best sequels I can think of, it is right there with Aliens (1986), it is right there with Terminator 2: Judgment Day (1991) it is an excellent sequel and it really does establish The Empire as a value treat. Empire Strikes Back is still and excellent film which I really believe is a timeless classic. This is my second favorite film from director Irvin Kershner. Number 1 favorite Irvin Kershner film will be RoboCop 2 (1990) which is very underrated action flick. I still have to review those movies someday.",/
1,16 January 2020,UniqueParticle,10, I enjoy this one more than A New Hope,"So much amazing action and beautiful cinematography makes for such an enlightening experience! In The Empire Strikes Back you know who everyone is which is great plus Yoda is introduced! I love this movie the music is soothing, there's romance, more of Darth Vader, and introduces Emperor Palpatine what more can you ask for? A lot to relish and get excited about; it's such a classic gem.",r
2,26 October 1999,Spleen,10, It's NOT the darkest of the trilogy - it's the most mature,"`It avoids having the standard shoot-'em-up ending,' says a friend of mine, `by not having an ending.'  I suppose this is what most people think, but all the same the film manages to form a satisfying whole; or at least, a whole that satisfies me.  I'm therefore inclined to think it DOES have an ending.  Obviously, I can't discuss this without giving things away to those few who don't know what happens.  If you're one of those few, then believe me: your ignorance is precious enough to be worth guarding until you see the film.  Stop reading now.",e
3,6 August 2002,Anonymous_Maxine,10," Even though he wasn't at the director's helm this time, George Lucas has done it again.","In a film like The Empire Strikes Back, especially a few years on the heels of such a mind-bogglingly great film like the original Star Wars, there is something that comes immediately to mind that would at first seem to count against the film, but instead only winds up increasing the respect that it commands. In the 1977 Star Wars, there is a clear reliance on simplicity in some parts. Obviously, it is much more than a simply made science fiction film, but like I said in my review of it, there was a lot of highly effective reliance on things that were not put on screen, such as Obi Wan's description of The Force to Luke. In The Empire Strike Back, the first thing that we are treated to is the traditional scrolling text along a background of stars, depicting what has happened between the last film and this one, and reminding us of the things that were mentioned in the last film but never explained.",v
4,6 May 2016,SnoopyStyle,10, Best Star Wars FILM,"After the destruction of the Death Star, the Rebel Alliance has been hounded by the Empire. Princess Leia, Luke Skywalker, and Han Solo are with the Rebel forces on the secret base on the planet Hoth. Darth Vader locates the base driving the rebels on the run. Leia, Chewie, and Han with C-3PO escape on the Millennium Falcon eventually ending up in Lando Calrissian's Cloud City. Meanwhile, Luke goes to the Dagobah system and finds Jedi Master Yoda.",i
5,22 May 2005,TheNorthernMonkee,10, finest of the trilogy because Lucas didn't write the script,"SPOILERS Three years after ""Star Wars"", creator George Lucas released the second part of his trilogy. Giving scripting credits to Leigh Brackett and Lawrence Kasden, as well as directing to Irvin Kershner, Lucas made his smartest ever decision and as a result was able to release the finest film of the trilogy by a mile. Considerably darker and more mature than it's predecessor, ""The Empire Strikes Back"" is a masterpiece of modern film. It is an intense, powerful, entertaining film with the ultimate cinema twist and with a script worthy of it's potential.",e
6,29 November 2009,TheLittleSongbird,10," Manages to be even better than New Hope, and that was just as brilliant","The original trilogy of Star Wars contain three films, all of which are sophisticated, imaginative and enormous fun. I feared it wouldn't be my thing, but it was exactly that. I loved the original trilogy for all those reasons. Empire Strikes Back maintains all the fun of its predecessor, while even darker and more mature. Visually it's a marvel to look at, with the stunning special effects and highly imaginative-looking sets. John Williams's score is just outstanding, epic and monumental in every way. The story is darker than that of New Hope and perhaps more sophisticated, and I loved the fact the filmmakers made the romance between Leia and Han more developed. The battle sequences are mesmerising, the beginning is bound to have you on the edge of your seat, but the battle between Luke and Darth Vader was simply out of this world. The script is still as affectionate as ever, the pace is fast and the acting is great. Mark Hamill is ever as likable as Luke, and Carrie Fisher still has her spunk and vivacity. Harrison Ford is noticeably more subdued, but he is still terrific, and Frank Oz is a perfect Yoda. Chewabacca is hilarious, and Darth Vader is a fantastic villain, especially when voiced so magnificently by James Earl Jones. All in all, a perfect successor to an already brilliant first film. 10/10 Bethany Cox",w
7,3 April 2004,MovieAddict2016,10," The best ""Star Wars"" film ever made.",(Note: This review contains some spoilers.),/
8,21 March 2022,kevin_robbins,10, This is among the all time great science fiction movies that is an absolute must see,"The Empire Strikes Back (1980) is a movie in my DVD collection that I recently watched again on Disney+. The storyline picks up where Star Wars left off with the rebellion building their army and the evil Empire rebounding from losing the Death Star. Luke will try to master the powers of the force by searching for a new Jedi to train him; meanwhile, as he digs into his past he discovers more about how he became a Jedi to begin with.",r
9,2 February 2006,Lady_Targaryen,10, The best movie of all Star wars,''Star Wars: Episode V - The Empire Strikes Back '' is my favorite one from all the star war series.,w
10,13 December 2015,claudio_carvalho,10, Fantastic Sequel,"The rebels' new base is hidden in the icy planet Hoth and Princess Leia (Carrie Fisher) commands a unit with Luke Skywalker (Mark Hamill), Han Solo (Harrison Ford) and Chewbacca (Peter Mayhew). During the investigation of a meteor crash, Luke is wounded and captured by a creature but succeeds to escape. While dying on the snow, he has a vision of Obi-Wan Kenobi telling him to go to the Dagobah system to be trained by the Jedi Master Yoda. Later he is saved by Han and they are rescued in the morning by the rebels. Meanwhile Darth Vader (David Prowse) sends probe droids through the galaxy to find the location of the base. The rebels are located and they need to leave the planet under the attack of the Imperial Fleet. However Luke heads to Dagobah to find Yoda while Leia, Han, Chewbacca and C-3PO travel to the planet Bespin to meet his friend Lando Calrissian (Billy Dee Williams) and repair the Millennium Falcon. However, they are betrayed by Lando and captured by Darth Vader. Meanwhile Luke has a premonition with his friends in danger and he decides to interrupt his training with Yoda to save them, despite the warning of Obi-Wan and Yoda. Will Luke be ready to face Darth Vader and save his friends? ",0
